,start_station_name,value
0,Millennium Park,45
1,Clinton St & Madison St,42
2,Navy Pier,39
3,Buckingham Fountain,38
4,Shedd Aquarium,37
5,Streeter Dr & Grand Ave,36
6,Columbus Dr & Randolph St,35
7,Canal St & Adams St,33
8,Michigan Ave & Oak St,31
9,Theater on the Lake,30
